x,y,Date
173.51146,-42.14529,21-09-2009 0:56
173.51102,-42.14553,21-09-2009 2:57
173.51086,-42.14539,21-09-2009 4:57
173.5111,-42.14533,21-09-2009 7:56
173.51103,-42.14543,22-09-2009 0:56
173.51114,-42.14551,22-09-2009 2:56
173.51103,-42.14545,22-09-2009 4:56
173.51098,-42.14534,22-09-2009 7:56
173.51107,-42.14537,23-09-2009 0:57
173.51105,-42.14526,23-09-2009 2:56
173.51103,-42.14553,23-09-2009 4:58
173.51107,-42.14537,23-09-2009 7:57
173.51112,-42.14507,25-09-2009 2:57
173.51125,-42.14508,25-09-2009 4:56
173.51132,-42.14515,25-09-2009 7:58
173.51097,-42.14543,26-09-2009 0:57
173.51109,-42.14532,26-09-2009 2:57
173.51105,-42.14538,26-09-2009 7:57
173.51102,-42.14551,27-09-2009 0:57
173.51113,-42.14528,27-09-2009 3:57
173.51112,-42.14538,27-09-2009 5:57
173.51108,-42.14543,27-09-2009 8:57
173.51119,-42.14577,9-11-2009 1:59
173.51109,-42.14556,9-11-2009 3:59
173.51108,-42.1454,9-11-2009 5:59
173.51106,-42.14538,9-11-2009 9:00
173.51228,-42.14478,17-11-2009 2:00
173.51141,-42.14621,17-11-2009 3:59
173.51105,-42.14578,17-11-2009 6:00
173.51108,-42.14545,17-11-2009 9:00
173.51061,-42.14497,19-11-2009 2:01
173.51121,-42.1449,19-11-2009 3:59
173.51137,-42.14512,19-11-2009 9:01
173.51068,-42.14488,20-11-2009 2:00
173.51063,-42.14516,20-11-2009 4:00
173.51105,-42.14539,20-11-2009 9:00
173.5113,-42.14455,21-11-2009 2:00
173.51135,-42.14518,21-11-2009 4:00
173.51116,-42.14516,21-11-2009 6:01
173.5111,-42.1455,21-11-2009 9:00
173.51058,-42.14493,25-11-2009 2:01
173.51094,-42.14567,25-11-2009 4:00
173.51105,-42.14542,25-11-2009 9:00
173.50453,-42.14741,26-11-2009 2:00
173.51048,-42.14503,26-11-2009 4:00
173.51105,-42.14547,26-11-2009 9:00
173.51183,-42.14444,27-11-2009 2:00
173.51104,-42.14547,27-11-2009 4:00
173.51106,-42.14556,27-11-2009 6:00
173.51084,-42.14543,27-11-2009 9:02
173.51128,-42.14563,1-12-2009 2:02
173.51066,-42.14552,1-12-2009 4:00
173.51111,-42.14539,1-12-2009 6:02
173.51112,-42.14548,1-12-2009 9:02
173.51062,-42.14482,10-12-2009 2:01
173.51115,-42.14512,10-12-2009 4:01
173.51157,-42.14528,10-12-2009 6:02
173.51156,-42.14538,10-12-2009 9:01
173.51273,-42.14346,16-12-2009 2:01
173.51262,-42.14392,16-12-2009 2:01
173.51118,-42.1453,16-12-2009 4:02
173.51099,-42.14532,16-12-2009 6:01
173.51117,-42.14538,16-12-2009 9:01
173.51118,-42.14459,19-12-2009 2:01
173.51116,-42.14444,19-12-2009 4:01
173.51092,-42.14483,19-12-2009 6:01
173.51088,-42.14494,19-12-2009 9:01
173.51115,-42.1445,20-12-2009 2:01
173.51073,-42.14511,20-12-2009 4:01
173.51116,-42.145,20-12-2009 6:02
173.5109,-42.14565,20-12-2009 9:02
173.51258,-42.14498,21-12-2009 2:01
173.51103,-42.14579,21-12-2009 4:02
173.51119,-42.14512,21-12-2009 9:02
173.51268,-42.14413,22-12-2009 2:01
173.51096,-42.14486,22-12-2009 4:01
173.51083,-42.14489,22-12-2009 6:02
173.51095,-42.14483,22-12-2009 9:01
173.51295,-42.14384,23-12-2009 2:01
173.51198,-42.14522,23-12-2009 4:01
173.51153,-42.14417,23-12-2009 6:02
173.51076,-42.14628,23-12-2009 9:02
173.51153,-42.14457,24-12-2009 2:02
173.51115,-42.14572,24-12-2009 4:02
173.51116,-42.14462,24-12-2009 6:02
173.51079,-42.14579,24-12-2009 9:02
173.51236,-42.14462,29-12-2009 2:02
173.51117,-42.14538,29-12-2009 4:02
173.511,-42.14582,29-12-2009 6:03
173.51233,-42.14458,30-12-2009 2:03
173.5121,-42.14485,30-12-2009 4:02
173.51101,-42.14553,30-12-2009 6:02
173.51048,-42.145,31-12-2009 2:02
173.51112,-42.14594,31-12-2009 4:02
173.51102,-42.14531,31-12-2009 6:02
173.51129,-42.14453,1-01-2010 2:02
173.51079,-42.14519,1-01-2010 4:04
173.51098,-42.14533,1-01-2010 6:02
173.51232,-42.14465,2-01-2010 2:02
173.5115,-42.14558,2-01-2010 4:02
173.51109,-42.14545,2-01-2010 6:02
173.51173,-42.14374,3-01-2010 2:02
173.51108,-42.14499,3-01-2010 4:02
173.51083,-42.14544,3-01-2010 6:03
173.51199,-42.14498,4-01-2010 2:02
173.51073,-42.14508,4-01-2010 4:02
173.51089,-42.14488,4-01-2010 6:02
173.51088,-42.14491,4-01-2010 9:02
173.51253,-42.14386,5-01-2010 2:02
173.51203,-42.14481,5-01-2010 4:02
173.51091,-42.14541,5-01-2010 6:02
173.51054,-42.14516,6-01-2010 2:02
173.51195,-42.1449,6-01-2010 4:02
173.51089,-42.14494,6-01-2010 6:02
173.51089,-42.14489,6-01-2010 9:04
173.51086,-42.14483,7-01-2010 2:02
173.50984,-42.14553,7-01-2010 4:02
173.51109,-42.14541,7-01-2010 6:03
173.51032,-42.14519,8-01-2010 2:02
173.51087,-42.14529,8-01-2010 4:02
173.51092,-42.14496,8-01-2010 6:02
173.51092,-42.14494,8-01-2010 9:02
173.50562,-42.14729,9-01-2010 2:02
173.51118,-42.14536,9-01-2010 4:03
173.5111,-42.14546,9-01-2010 6:03
173.51133,-42.13032,25-10-2009 19:44
173.51131,-42.13035,26-10-2009 5:42
173.51174,-42.13079,26-10-2009 7:42
173.51113,-42.1302,26-10-2009 9:43
173.51306,-42.13058,31-10-2009 19:45
173.51108,-42.1305,1-11-2009 5:43
173.51115,-42.13038,1-11-2009 7:43
173.51149,-42.13063,1-11-2009 9:43
173.51139,-42.13033,1-11-2009 19:43
173.5112,-42.13035,2-11-2009 5:43
173.51132,-42.13034,2-11-2009 9:43
173.51136,-42.13033,2-11-2009 19:43
173.51248,-42.13128,3-11-2009 5:44
173.51304,-42.13102,3-11-2009 9:44
173.51305,-42.13068,9-11-2009 19:44
173.51142,-42.13031,10-11-2009 5:44
173.51127,-42.13026,10-11-2009 7:43
173.51138,-42.13022,10-11-2009 9:43
173.51123,-42.13028,10-11-2009 19:43
173.51364,-42.13047,11-11-2009 5:44
173.513,-42.13107,11-11-2009 7:43
173.51327,-42.13104,11-11-2009 9:43
173.51132,-42.1301,17-11-2009 5:43
173.51147,-42.13019,17-11-2009 7:43
173.51148,-42.12993,17-11-2009 9:43
173.51129,-42.1303,17-11-2009 19:43
173.51428,-42.12955,18-11-2009 5:44
173.51393,-42.13035,18-11-2009 7:45
173.51123,-42.1302,19-11-2009 5:43
173.51131,-42.13023,19-11-2009 7:43
173.51133,-42.13019,19-11-2009 9:43
173.51608,-42.14569,17-09-2009 1:33
173.51507,-42.14557,17-09-2009 3:33
173.51523,-42.14544,17-09-2009 5:33
173.51513,-42.14549,17-09-2009 8:33
173.51304,-42.14409,18-09-2009 1:32
173.5129,-42.14406,18-09-2009 3:32
173.51339,-42.14408,18-09-2009 5:32
173.51295,-42.14411,18-09-2009 8:34
173.51383,-42.14471,24-09-2009 1:33
173.51307,-42.14408,24-09-2009 3:33
173.51298,-42.14413,24-09-2009 5:33
173.51305,-42.14407,24-09-2009 8:34
173.51498,-42.1412,30-09-2009 2:33
173.51511,-42.14157,30-09-2009 4:33
173.51509,-42.14161,30-09-2009 6:34
173.51297,-42.14412,1-10-2009 4:33
173.51311,-42.14389,1-10-2009 6:34
173.51296,-42.14406,1-10-2009 9:33
173.51478,-42.14555,2-10-2009 2:33
173.51469,-42.14558,2-10-2009 4:33
173.51407,-42.1449,2-10-2009 6:33
173.51396,-42.14494,2-10-2009 9:33
173.5143,-42.14116,11-10-2009 2:33
173.51502,-42.14163,11-10-2009 4:33
